id,name,gender,country,birth,death,complexity
71,Паоло Веронезе,1,,,,3
78,Реми-Фюрси Дескарсен,1,France,1747,,3
93,Святослав Рерих,1,,,,3
105,Джон Уильям Уотерхаус,1,,,,2
116,Софи Жанжамбр Андерсон,2,England,1823,,3
129,Антонио де Переда,1,,,,3
139,Леон Базиль Перро,1,,,,3
153,Кнуд Андреассен Боде,1,,,,3
163,Ганс Гольбейн Младший,1,,,,3
179,Уильям Хемсли,1,,,,3
186,Морис де Вламинк,1,,,,3
187,Чарльз Рохуссен,1,,,,3
193,Якоб ван Рёйсдал,1,Holland,1628,,3
206,Эмиль Кристиан Розенштанд,1,,,,3
217,Паскуале Лиотта Кристальди,1,,,,3
237,Константин Хансен,1,,,,3
249,Алексей Венецианов,1,,,,2
264,Тамара Лемпицка,2,,,,2
275,Жан-Мишель Баския,1,,,,3
282,Александр Дейнека,1,,,,1
295,Джеймс Дойл Пенроуз,1,,,,3
311,Аста Нёррегор,2,Norway,1853,1933,3
320,Пьер Пюви де Шаванн,1,,,,3
330,Хосе Касадо дель Алисаль,1,,,,3
346,Аксели Галлен-Каллела,1,Finland,1865,1931,3
362,Сергей Кириллов,1,,,,3
372,Эббот Хэндерсон Тайер,1,,,,3
384,Жан Андре Риксенс,1,,,,3
393,Адольф Александр Лесрель,1,,,,3
408,Хуан Санчес Котан,1,,,,3
416,Иван Айвазовский,1,,,,1
427,Игнасио Диас Олано,1,,,,3
433,Ангелика Кауфман,2,Germany,1741,1807,3
445,Сандро Боттичелли,1,,,,1
453,Адриан ван де Венне,1,,,,3
466,Ганс Тома,1,,,,3
470,Владимир Костецкий,1,,,,3
484,Роза Бонёр,2,France,1822,1899,3
493,Адольф Тидеманд,1,,,,3
505,Пит Мондриан,1,,,,2
509,Эсайас ван де Велде,1,Holland,1587,1630,3
520,Фредерик Эдвин Чёрч,1,,,,3
531,Александр-Огюст Гирш,1,,,,3
543,Виктор Цветков,1,,,,3
547,Пьер Боннар,1,,,,2
548,Джулиус Леблан Стюарт,1,,,,3
559,Николай Богданов-Бельский,1,,,,2
571,Эмануэль Лойце,1,Germany,1816,1868,3
578,Брендекильде Брандтс Оденсе,1,Denmark,1857,1942,3
596,Анри Леопольд Леви,1,,,,3
606,Джованни Баттиста Чиприани,1,Italy,1727,1785,3
618,Вильгельм Хаммерсхёй,1,,,,3
630,Рене-Ксавье Прине,1,France,1861,1946,3
636,Сальвадор Диас Игнасио Руис де Олано,1,,,,3
655,Кристоффер Вильхельм Эккерсберг,1,,,,3
664,Уильям Холбрук Берд,1,,,,3
668,Мариано Фортуни,1,Spain,1838,1874,3
677,Анри Фантен-Латур,1,,,,3
686,Элизабет Виже-Лебрен,1,France,1755,1842,3
695,Жюль-Эли Делоне,1,France,1828,1891,3
702,Густав Вертхаймер,1,,,,3
714,Джордж Хилльярд Суинстед,1,,,,3
731,Изобель Лилиан Глоаг,2,England,1865,1917,3
747,Педер Северин Крёйер,1,,,,3
760,Сент-Джордж Хейр,1,,,,3
772,Рогир ван дер Вейден,1,,,,3
782,Пер Дэниел Холм,1,,,,3
783,Игорь Грабарь,1,,,,2
789,Софонисба Ангвиссола,2,Italy,1532,1625,3
801,Вильгельм Амберг,1,,,,3
814,Пьер-Огюст Кот,1,,,,3
829,Франс Хальс,1,,,,3
836,Станислав Масловский,1,,,,3
848,Анри-Пьер Пику,1,,,,3
860,Гильом ван дер Хехт,1,,,,3
872,Джордж Вашингтон Ламберт,1,,,,3
886,Джорджо Вазари,1,,,,2
497,Шарль Ангран,1,,,,3
897,Юге Мерль,1,France,1822,1881,3
902,Микалоюс Чюрлёнис,1,,,,3
924,Рембрандт Пил,1,,,,3
925,Сюзанна Валадон,2,,,,3
926,Хуан Фландес,1,,,,3
927,Ханс Руди Гигер,1,,,,3
928,Леопольд Карл Мюллер,1,,,,3
929,Эдуард Файт,1,,,,3
930,Георг Янни,1,,,,3
931,Томас Кутюр,1,,,,3
932,Питер Питерс Ластман,1,,,,3
933,Эрнст Фердинанд Оэме,1,,,,3
934,Бенар Альберт,1,,,,3
2,Винсент Ван Гог,1,,,,1
4,Август Макке,1,,,,3
5,Пьер Огюст Ренуар,1,,,,1
6,Макс Либерман,1,,,,2
